City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
275,Rudnogorsk,RU,2022-04-21 15:59:14,57.2639,103.7519,20.39,94,97,1.79
276,Acapulco,MX,2022-04-21 15:57:03,16.8634,-99.8901,85.41,48,0,4.05
277,Baltoji Voke,LT,2022-04-21 15:59:14,54.6,25.2,50.45,62,75,17.27
278,Bauchi,NG,2022-04-21 15:59:15,10.5,10.0,99.61,17,100,5.21
279,Madimba,TZ,2022-04-21 16:00:18,-10.4,40.3333,78.4,86,100,8.52
280,Aykhal,RU,2022-04-21 16:00:23,66.0,111.5,6.98,99,100,4.34
281,Visnes,NO,2022-04-21 16:00:26,59.3556,5.2242,59.38,54,0,10.36
282,Matara,LK,2022-04-21 16:00:28,5.9485,80.5353,78.93,88,13,4.18
283,Nyurba,RU,2022-04-21 16:00:30,63.2842,118.3319,22.05,97,99,4.59
284,Kibala,TD,2022-04-21 16:00:31,9.1104,18.3463,98.71,23,67,4.36
285,Cabo San Lucas,MX,2022-04-21 16:00:00,22.8909,-109.9124,76.51,72,0,1.99
286,Teseney,ER,2022-04-21 16:00:32,15.11,36.6575,101.53,15,48,6.8
287,Krasnoselkup,RU,2022-04-21 16:00:33,65.7,82.4667,-1.64,94,38,2.1
288,Tutoia,BR,2022-04-21 16:00:33,-2.7619,-42.2744,84.13,73,38,11.32
289,Dudinka,RU,2022-04-21 16:00:34,69.4058,86.1778,10.98,89,98,8.12
290,Port Hueneme,US,2022-04-21 15:57:13,34.1478,-119.1951,63.52,76,0,1.01
291,Somerville,US,2022-04-21 16:00:34,42.3876,-71.0995,63.41,40,95,11.99
292,Lincoln,US,2022-04-21 15:57:18,40.8,-96.667,61.14,72,56,3.0
293,Borujerd,IR,2022-04-21 16:00:35,33.8973,48.7516,62.13,36,32,5.88
294,Cayenne,GF,2022-04-21 15:56:50,4.9333,-52.3333,79.09,1,100,5.75
